Step6-Energy-rel-kWh,Step6-Temperature-C-F,Step6-Torque-Nm-ft/lbs,Step7-Energy-rel-kWh,Step7-Temperature-C-F,Step7-Torque-Nm-ft/lbs,Step8-Energy-rel-kWh,Step8-Temperature-C-F,Step8-Torque-Nm-ft/lbs,Tensile,Elongation,Hardness,M16
86,104,106,98,100,93,107,99,76,16,483,57,3.3
87,104,106,99,100,88,108,102,84,15,465,57,3.3
87,103,119,100,100,102,109,95,82,16,484,57,3.3
86,102,96,95,96,84,104,96,72,14,446,57,3.2
84,103,105,95,101,92,104,100,79,15,468,57,3.2
88,104,98,99,102,92,108,102,82,14,434,57,3.2
85,103,94,95,98,85,104,98,79,15,479,57,3.1
88,104,99,97,97,89,106,102,77,13,418,57,3.1
87,100,103,97,101,86,106,98,75,15,470,58,2.9
88,99,103,99,102,86,109,101,79,13,412,58,3.1
90,105,103,100,104,85,109,100,77,15,472,57,2.8
85,105,115,97,99,94,106,98,78,14,449,58,2.8
84,106,98,95,100,94,104,99,78,14,448,58,2.8
89,101,109,100,100,81,109,100,69,15,466,58,2.8
88,106,98,99,101,84,108,100,76,15,450,59,2.8
86,102,99,98,98,89,107,100,81,15,458,59,2.9
85,103,111,97,100,98,106,100,80,15,466,58,3
86,100,120,97,101,94,107,100,82,14,454,58,2.8
87,106,126,99,100,93,108,98,76,14,449,57,3
89,105,115,100,102,90,109,101,84,15,465,58,3.1
87,109,100,97,101,83,106,98,86,15,458,58,3.1
90,103,103,101,100,94,110,100,79,14,448,59,3.1
84,102,108,95,96,92,104,97,83,12,416,58,3.1
86,106,106,96,98,93,106,99,81,15,475,58,3.1
88,106,117,99,99,91,108,98,78,15,487,58,3.3
86,104,114,97,97,94,106,100,79,14,448,59,3.1
86,102,96,95,100,86,104,97,80,14,449,57,3.1
87,104,111,97,100,90,107,99,74,15,476,58,3.4
86,104,108,96,96,87,105,96,74,16,495,58,2.9
84,104,110,96,102,90,105,99,76,16,482,58,3.3
85,98,118,97,99,92,106,99,76,15,478,58,3
87,103,106,99,100,87,108,100,79,17,495,57,3.1
89,106,98,99,98,83,108,100,82,15,460,57,3.3
84,106,103,94,98,97,103,99,84,15,436,57,3.2
88,103,109,99,102,99,109,100,79,15,436,56,3.1
86,101,102,96,100,95,105,99,80,17,475,56,3.5
84,100,112,94,97,98,103,100,84,17,460,57,3.7
88,110,120,98,103,93,107,98,74,15,453,56,3.2
87,107,110,97,101,86,106,99,76,16,449,56,3.2
86,100,122,97,98,100,106,97,78,15,418,56,3.3
85,101,117,95,98,97,103,98,80,15,438,57,3.1
86,106,117,98,100,88,107,99,78,14,417,57,3.2
87,98,98,97,98,86,106,98,85,15,459,56,3.3
91,108,92,101,101,83,110,100,80,15,436,56,3.3
87,103,104,98,98,98,108,101,84,17,477,57,3.3
85,103,123,96,96,105,106,99,81,16,451,57,3
90,104,113,101,101,86,110,100,76,16,438,56,3.2
86,99,111,99,96,95,108,97,81,15,435,57,3.3
90,102,113,101,102,94,110,100,78,17,479,57,3.2
88,109,124,100,101,91,109,97,74,15,428,57,3.2
86,100,108,98,102,89,107,98,87,17,462,57,3.3
87,101,103,98,96,93,107,98,83,18,476,56,3.2
84,101,101,95,96,93,105,100,88,14,424,57,3.3
85,101,106,96,98,95,105,98,86,18,480,57,3.3
85,102,112,96,100,98,105,98,84,18,485,56,3.3
88,104,105,98,98,90,107,100,75,16,453,57,3.3
89,102,103,100,100,88,110,99,77,18,462,57,2.9
87,102,99,98,100,91,107,99,80,16,448,57,3
86,104,92,96,100,91,106,100,84,17,471,57,3
87,105,97,98,102,89,107,98,77,17,472,57,2.9
86,101,100,96,99,96,105,97,80,16,456,57,3
86,100,114,97,98,95,107,100,78,16,450,57,3.1
88,104,99,99,99,92,108,101,78,15,446,57,3.2
88,103,112,100,101,96,109,100,78,16,440,57,3.2
84,104,113,96,99,91,105,99,74,16,440,57,3
87,106,104,97,102,83,106,100,75,15,418,57,3
89,105,96,99,102,85,108,98,77,15,441,56,3.3
88,104,100,98,101,91,107,100,76,17,461,57,3.1
89,103,97,99,100,88,108,100,73,17,461,56,3.1
86,105,114,97,100,86,106,98,71,14,416,57,3.2
85,104,119,97,101,93,106,99,75,17,454,57,3.1
86,104,98,97,101,89,106,100,77,16,470,57,2.9
86,100,110,96,99,86,105,99,84,13,390,52,1.6
89,100,110,99,101,97,109,97,86,14,410,54,2.1
88,107,114,99,100,90,108,99,86,16,496,58,2.9
91,105,100,101,99,83,110,100,86,17,498,57,2.9
88,108,100,98,101,94,108,98,83,15,463,57,2.9
87,96,107,98,102,93,107,101,79,15,471,57,2.6
90,105,116,103,101,88,112,100,78,16,480,58,2.9
88,103,92,98,101,84,106,98,78,16,492,57,2.8
80,101,104,91,98,83,100,100,73,16,492,57,2.9
89,107,98,100,100,83,109,100,76,16,484,57,2.9
87,98,95,96,101,80,105,100,84,16,478,58,2.9
87,101,100,97,100,90,106,101,78,16,478,58,3
87,104,105,98,102,90,107,100,74,11,381,58,3
88,108,108,99,102,86,108,100,82,16,474,58,2.9
90,102,104,101,102,97,110,103,84,15,468,58,2.9
87,104,99,98,103,95,107,101,79,16,475,58,2.9
88,104,115,100,101,86,109,99,75,17,507,57,2.7
84,102,106,95,98,96,105,101,80,16,484,57,2.8
93,105,110,105,103,91,114,102,80,16,478,57,2.9
91,104,100,102,104,92,112,102,77,15,472,57,2.7
88,103,114,100,100,91,109,100,75,16,495,57,2.7
91,104,107,102,104,89,111,102,74,16,495,57,3.1
90,106,116,102,104,88,111,101,71,16,504,57,3
88,102,100,99,99,92,108,101,84,16,495,57,3
88,102,103,98,102,91,107,101,81,16,482,58,3
89,104,97,100,101,88,109,102,82,17,502,58,3.1
91,104,107,103,102,87,112,101,81,16,484,58,2.9
84,104,111,96,100,97,105,100,80,16,487,58,2.9
90,104,113,102,104,84,110,101,74,16,474,58,2.9
87,105,100,98,99,87,107,100,81,16,482,57,2.9
89,104,102,100,103,89,109,100,74,16,499,57,3
89,106,111,101,101,93,110,99,74,16,498,57,2.9
89,107,110,100,102,84,109,99,75,15,470,57,2.9
88,103,110,100,100,88,109,100,72,15,472,57,2.9
90,102,100,101,100,84,110,100,76,15,466,57,3
90,102,113,102,102,86,111,100,72,17,502,57,3
90,106,99,101,102,84,110,101,73,16,485,58,3
89,104,100,100,100,92,109,97,77,16,474,58,3
87,102,99,98,99,84,107,100,83,17,499,59,3
84,101,92,94,96,88,103,97,79,16,487,58,3
85,107,105,96,102,91,106,102,80,16,487,58,3.1
90,106,116,100,100,88,109,101,81,17,504,58,3
92,104,113,104,101,86,113,101,77,17,496,58,2.9
88,106,111,100,100,99,109,102,86,16,480,57,3
88,108,121,100,102,100,109,101,85,15,470,57,2.9
90,109,114,100,100,97,110,102,85,16,482,58,2.9
86,101,117,98,100,105,108,101,84,16,492,57,2.9
89,100,113,100,98,101,110,99,78,16,491,57,2.9
